vtkOriginalIndices,Py,Pz,Y,Z,__vtkIsSelected__
94,-9.13685e-021,4.50786e-021,0.00253403,0.00162537,0
95,-5.99479e-021,4.13845e-021,0.00250088,0.00170006,0
96,-7.05331e-021,5.52357e-021,0.00244514,0.00157732,0
97,-8.72353e-021,5.64961e-021,0.00252838,0.00157602,0
98,-6.24429e-021,5.34785e-021,0.00249524,0.0016507,0
99,-5.54556e-021,6.02238e-021,0.00236155,0.0015789,0
100,-4.66597e-021,5.86963e-021,0.00241164,0.00165228,0
101,-4.2027e-021,5.03426e-021,0.00246173,0.00172566,0
102,-3.49857e-021,7.92512e-021,0.00232734,0.00165441,0
103,-2.80387e-021,7.49635e-021,0.00237744,0.00172779,0
104,-1.40262e-021,9.96266e-021,0.00229314,0.00172992,0
105,-4.58703e-021,6.59502e-021,0.00236685,0.00162853,0
106,-3.62373e-021,6.4747e-021,0.00241694,0.00170191,0
107,-2.42123e-021,8.59108e-021,0.00233264,0.00170404,0
108,-4.66169e-021,1.16093e-020,-0.000533975,0.00357529,0
109,4.09623e-021,5.75241e-021,-0.000578134,0.00348521,0
110,1.24044e-020,1.98539e-022,-0.000622293,0.00339512,0
111,4.04736e-021,5.36159e-021,-0.000481567,0.00352,0
112,1.20331e-020,3.34159e-023,-0.000525726,0.00342992,0
113,1.22574e-020,-6.3017e-022,-0.000429158,0.00346471,0
114,1.20847e-021,7.6046e-021,-0.000531225,0.00352683,0
115,9.2845e-021,2.20729e-021,-0.000575384,0.00343675,0
116,9.48375e-021,1.56242e-021,-0.000478817,0.00347154,0
117,-7.64116e-021,1.21287e-020,-0.000495309,0.00360769,0
118,2.02454e-021,5.58644e-021,-0.000442901,0.0035524,0
119,1.08825e-020,-1.01388e-021,-0.000390492,0.00349711,0
120,-5.0454e-021,7.04667e-021,-0.00042347,0.00361481,0
121,4.44465e-021,8.33362e-022,-0.000371062,0.00355952,0
122,-2.44547e-021,1.9565e-021,-0.000351632,0.00362192,0
123,-2.9291e-021,8.2828e-021,-0.000453893,0.00359163,0
124,5.55613e-021,2.12285e-021,-0.000401485,0.00353634,0
125,-7.0952e-022,3.93962e-021,-0.000382055,0.00359875,0
126,-2.61227e-023,1.02041e-020,-0.001555,6.43011e-006,0
127,-1.89486e-022,1.01754e-020,-0.00161594,4.23172e-005,0
128,-3.82577e-022,9.95505e-021,-0.00167688,7.82043e-005,0
129,-3.06807e-023,1.01562e-020,-0.00169958,1.1747e-005,0
130,-2.67758e-023,1.01927e-020,-0.0016032,8.20239e-006,0
131,-1.60057e-022,1.01058e-020,-0.00166414,4.40895e-005,0
132,1.16136e-022,1.01886e-020,0.00154867,2.723e-005,0
133,2.02998e-022,1.00948e-020,0.00163726,5.7718e-005,0
134,9.3661e-024,1.01733e-020,0.00172829,4.91177e-006,0
135,2.44431e-022,9.90262e-021,0.00172585,8.8206e-005,0
136,6.29083e-023,1.01684e-020,0.00160854,1.97906e-005,0
137,1.26236e-022,1.0064e-020,0.00169713,5.02786e-005,0
138,9.49431e-022,5.66476e-021,-0.00152908,0.00339767,0
139,-8.92584e-021,5.97402e-021,-0.0014947,0.00331221,0
140,-1.83581e-020,5.78611e-021,-0.00146031,0.00322675,0
141,2.29486e-022,8.3522e-021,-0.00143703,0.00338204,0
142,-9.50527e-021,8.33193e-021,-0.00140265,0.00329658,0
143,-4.83286e-022,1.10129e-020,-0.00134498,0.00336641,0
144,-2.57217e-021,6.90908e-021,-0.00148694,0.00336397,0
145,-1.23112e-020,6.69209e-021,-0.00145255,0.00327851,0
146,-3.19468e-021,9.29667e-021,-0.00139489,0.00334834,0
147,7.47837e-022,1.76625e-020,-0.00115355,0.00355309,0
148,-2.6239e-022,1.52203e-020,-0.00120057,0.00348032,0
149,-1.31875e-021,1.31179e-020,-0.00124759,0.00340754,0
150,-1.14933e-020,1.68165e-020,-0.00110515,0.00347675,0
151,-1.29254e-020,1.47652e-020,-0.00115217,0.00340397,0
152,-2.45446e-020,1.64143e-020,-0.00105674,0.0034004,0
153,-3.69849e-021,1.65593e-020,-0.00115309,0.00350339,0
154,-4.60158e-021,1.41699e-020,-0.00120011,0.00343061,0
155,-1.56794e-020,1.57432e-020,-0.00110468,0.00342704,0
156,9.93932e-020,-3.14479e-019,-0.00128353,0.00376119,0
157,5.55766e-020,-1.6518e-019,-0.0012242,0.0037052,0
158,1.53169e-020,-2.81114e-020,-0.00116487,0.00364922,0
159,9.25321e-020,-2.90729e-019,-0.00119741,0.00378847,0
160,4.8984e-020,-1.42361e-019,-0.00113808,0.00373249,0
161,8.56597e-020,-2.66941e-019,-0.00111129,0.00381576,0
162,8.21382e-020,-2.5555e-019,-0.00123505,0.00375162,0
163,3.95935e-020,-1.10627e-019,-0.00117572,0.00369564,0
164,7.53627e-020,-2.32098e-019,-0.00114893,0.00377891,0
165,1.07557e-019,-3.04991e-019,-0.00131747,0.00373056,0
166,6.24532e-020,-1.34611e-019,-0.00133317,0.00366598,0
167,2.14988e-020,2.06799e-020,-0.00134887,0.00360141,0
168,4.93715e-020,-1.11715e-019,-0.00125814,0.00367458,0
169,1.79328e-020,1.64861e-020,-0.00127384,0.00361,0
170,1.43409e-020,1.22624e-020,-0.00119881,0.0036186,0
171,6.42356e-020,-1.57178e-019,-0.00130293,0.00369038,0
